Founder,Occupation,Industry_Headquarters,Revenue,Area_Served,Website
William Boeing,Industrialist,"Chicago, Illinois",USD 56.729 billion,Worldwide,https://www.boeing.com/
Franz Josef Strauss,Politician,"Leiden, Netherlands",EURO 66.767 billion,Worldwide,https://www.airbus.com/
Henri Zeigler,Polytechnic Engineer,"Leiden, Netherlands",EURO 66.767 billion,Worldwide,https://www.airbus.com/
Roger Beteille,Aeronautical Engineer,"Leiden, Netherlands",EURO 66.767 billion,Worldwide,https://www.airbus.com/
Felix Kracht,German Engineer,"Leiden, Netherlands",EURO 66.767 billion,Worldwide,https://www.airbus.com/
Ozires Silva,Brazilian Entrepreneur,"Sao Paulo, Brazil",USD 19.8 billion,Worldwide,https://embraer.com/global/en
