Airplane_Name,Manufacturer_Name
Southwest Airlines,Boeing Business Jets
JetBlue Airways,Airbus
Delta,"Boeing Business Jets, Airbus"
Hawaiian Airlines,"Boeing Business Jets, Airbus"
Alaska Airlines,"Boeing Business Jets, Airbus, Embraer"
American Airlines,Airbus
Allegiant,"Boeing Business Jets, Airbus"
United Airlines,"Boeing Business Jets, Airbus"
Virgin America,Airbus
Frontier Airlines,Airbus
